What does ***grid-template-areas*** property do?,"Defines a grid template by referencing the names of the grid areas which are specified with the [grid-area](https://css-tricks.com/snippets/css/complete-guide-grid/#prop-grid-area) property. Repeating the name of a grid area causes the content to span those cells. A period signifies an empty cell. The syntax itself provides a visualisation of the structure of the grid.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid-template-areas)"
How do you define a ***grid-area*** and use it in a ***grid-template-area***?,"Example:

```
.item-a {
  grid-area: header;
}
.item-b {
  grid-area: main;
}
.item-c {
  grid-area: sidebar;
}
.item-d {
  grid-area: footer;
}

.container {
  display: grid;
  grid-template-columns: 50px 50px 50px 50px;
  grid-template-rows: auto;
  grid-template-areas: 
  ""header header header header""
  ""main main . sidebar""
  ""footer footer footer footer"";
}
```

That’ll create a grid that’s four columns wide by three rows tall. The entire top row will be composed of the header area. The middle row will be composed of two main areas, one empty cell, and one sidebar area. The last row is all footer.

Each row in your declaration needs to have the same number of cells.

You can use any number of adjacent periods to declare a single empty cell. As long as the periods have no spaces between them they represent a single cell.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid-template-areas)"
What happens to the ***grid-lines*** names when you define the template using ***grid-areas***?,"When you use the `grid-area`s syntax, the lines on either end of the areas are actually getting named automatically.

If the name of your grid area is `foo`, the name of the area’s starting row line and starting column line will be `foo-start`, and the name of its last row line and last column line will be `foo-end`. This means that some lines might have multiple names, such as when several areas start or end.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid-template-areas)"
What does ***grid-template*** property do?,"A shorthand for setting `grid-template-rows`, `grid-template-columns`, and `grid-template-areas` in a single declaration.

Values:

* `none` – sets all three properties to their initial values
* `<grid-template-rows> / <grid-template-columns>` – sets `grid-template-columns` and `grid-template-rows` to the specified values, respectively, and sets `grid-template-areas` to `none`.

```
 .container {
  grid-template: none | <grid-template-rows> / <grid-template-columns>; 
 }
```
It also accepts a more complex but quite handy syntax for specifying all three. Here’s an example:

```
.container {
  grid-template:
  [row1-start] ""header header header"" 25px [row1-end]
  [row2-start] ""footer footer footer"" 25px [row2-end]
  / auto 50px auto;
}
```

That’s equivalent to this:

```
.container {
  grid-template-rows: [row1-start] 25px [row1-end row2-start] 25px [row2-end];
  grid-template-columns: auto 50px auto;
  grid-template-areas: 
  ""header header header"" 
  ""footer footer footer"";
}
```

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid-template)"
What is the problem with the ***grid-template*** property?,"Since `grid-template` doesn’t reset the *implicit* grid properties ([grid-auto-columns](https://css-tricks.com/snippets/css/complete-guide-grid/#prop-grid-auto-columns-rows), [grid-auto-rows](https://css-tricks.com/snippets/css/complete-guide-grid/#prop-grid-auto-columns-rows), and [grid-auto-flow](https://css-tricks.com/snippets/css/complete-guide-grid/#prop-grid-auto-flow)), which is probably what you want to do in most cases, it’s recommended to use the [grid](https://css-tricks.com/snippets/css/complete-guide-grid/#prop-grid) property instead of `grid-template`.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid-template)"
"What do **column-gap, row-gap, grid-column-gap, grid-row-gap** properties do?","Specifies the size of the grid lines. You can think of it like setting the width of the gutters between the columns/rows.

Values:

`<line-size>` – a length value

Example:

```
 .container {
  /* standard */
  column-gap: <line-size>;
  row-gap: <line-size>;

 /* old */
  grid-column-gap: <line-size>;
  grid-row-gap: <line-size>;
 }
```

Note: The gutters are only created *between* the columns/rows, not on the outer edges.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-column-gaprow-gapgrid-column-gapgrid-row-gap)"
"What do **gap, grid-gap** do?","A shorthand for `row-gap` and `column-gap`

Values:

`<grid-row-gap> <grid-column-gap>` – length values

Example: 

```
.container {
 /* standard */
 gap: <grid-row-gap> <grid-column-gap>;

/* old */
 grid-gap: < grid-row-gap>\<grid-column-gap>;
}
```

If no `row-gap` is specified, it’s set to the same value as `column-gap`.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-gapgrid-gap)"
What does **justify-items** property do?,"Aligns grid items along the inline (row) axis (as opposed to `align-items` which aligns along the block (column) axis). This value applies to all grid items inside the container.

Values:

* `start` – aligns items to be flush with the start edge of their cell
* `end` – aligns items to be flush with the end edge of their cell
* `center` – aligns items in the center of their cell
* `stretch` – fills the whole width of the cell (this is the default)

```
.container {
  justify-items: start | end | center | stretch;
}
```

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-justify-items)"
What does **align-items** property do?,"Aligns grid items along the block (column) axis (as opposed to `justify-items` which aligns along the inline (row) axis). This value applies to all grid items inside the container.

Values:

* `stretch` – fills the whole height of the cell (this is the default)
* `start` – aligns items to be flush with the start edge of their cell
* `end` – aligns items to be flush with the end edge of their cell
* `center` – aligns items in the center of their cell
* `baseline` – align items along text baseline. There are modifiers to baseline — first baseline and last baseline which will use the baseline from the first or last line in the case of multi-line text.

```
.container {
  align-items: start | end | center | stretch;
}
```

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-align-items)"
What does **place-items** property do?,"`place-items` sets both the align-items and justify-items properties in a single declaration.

Values:

* `<align-items> <justify-items>` – The first value sets `align-items`, the second value `justify-items`. If the second value is omitted, the first value is assigned to both properties.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-place-items)"
What does **justify-content** property do?,"Sometimes the total size of your grid might be less than the size of its grid container. This could happen if all of your grid items are sized with non-flexible units like *px*. In this case you can set the alignment of the grid within the grid container. This property aligns the grid along the inline (row) axis (as opposed to `align-content` which aligns the grid along the block (column) axis).

Values:

* `start` – aligns the grid to be flush with the start edge of the grid container
* `end` – aligns the grid to be flush with the end edge of the grid container
* `center` – aligns the grid in the center of the grid container
* `stretch` – resizes the grid items to allow the grid to fill the full width of the grid container
* `space-around` – places an even amount of space between each grid item, with half-sized spaces on the far ends
* `space-between` – places an even amount of space between each grid item, with no space at the far ends
* `space-evenly` – places an even amount of space between each grid item, including the far ends

```
.container {
  justify-content: start | end | center | stretch | space-around | space-between | space-evenly;
}
```

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-justify-content)"
What does **align-content** property do?,"Sometimes the total size of your grid might be less than the size of its grid container. This could happen if all of your grid items are sized with non-flexible units like px. In this case you can set the alignment of the grid within the grid container. This property aligns the grid along the block (column) axis (as opposed to `justify-content` which aligns the grid along the inline (row) axis).

Values:

* `start` – aligns the grid to be flush with the start edge of the grid container
* `end` – aligns the grid to be flush with the end edge of the grid container
* `center` – aligns the grid in the center of the grid container
* `stretch` – resizes the grid items to allow the grid to fill the full height of the grid container
* `space-around` – places an even amount of space between each grid item, with half-sized spaces on the far ends
* `space-between` – places an even amount of space between each grid item, with no space at the far ends
* `space-evenly` – places an even amount of space between each grid item, including the far ends

```
.container {
  align-content: start | end | center | stretch | space-around | space-between | space-evenly;
}
```

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-align-content)"
What does **place-content** property do?,"`place-content` sets both the align-content and justify-content properties in a single declaration.

Values:

`<align-content> / <justify-content>` – The first value sets `align-content`, the second value `justify-content`. If the second value is omitted, the first value is assigned to both properties.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-place-content)"
"What do **grid-column-start, grid-column-end, grid-row-start** and **grid-row-end** properties do?","Determines a grid item’s location within the grid by referring to specific grid lines. `grid-column-start/grid-row-start` is the line where the item begins, and `grid-column-end/grid-row-end` is the line where the item ends.

**Note**: If no `grid-column-end/grid-row-end` is declared, the item will span 1 track by default.
 Items can overlap each other. You can use `z-index` to control their stacking order.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid-column-startgrid-column-endgrid-row-startgrid-row-end)"
What do **grid-column** and **grid-row** properties do?,"Shorthand for `grid-column-start` + `grid-column-end`, and `grid-row-start` + `grid-row-end`, respectively.

Values:

`<start-line> / <end-line>` – each one accepts all the same values as the longhand version, including span

```
.item {
  grid-column: <start-line> / <end-line> | <start-line> / span <value>;
  grid-row: <start-line> / <end-line> | <start-line> / span <value>;
}
```

If no end line value is declared, the item will span 1 track by default.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid-columngrid-row)"
What does **grid-area** property do?,"Gives an item a name so that it can be referenced by a template created with the `grid-template-areas` property. Alternatively, this property can be used as an even shorter shorthand for `grid-row-start` + `grid-column-start` + `grid-row-end` + `grid-column-end`.

Values:

* `<name>` – a name of your choosing
* `<row-start> / <column-start> / <row-end> / <column-end>` – can be numbers or named lines

```
.item {
  grid-area: <name> | <row-start> / < column-start> / <row-end> / <column-end>;
}
```

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid-area)"
What does **justify-self** property do?,"Aligns a grid item inside a cell along the inline (row) axis (as opposed to `align-self` which aligns along the block (column) axis). This value applies to a grid item inside a single cell.

Values:

* `start` – aligns the grid item to be flush with the start edge of the cell
* `end` – aligns the grid item to be flush with the end edge of the cell
* `center` – aligns the grid item in the center of the cell
* `stretch` – fills the whole width of the cell (this is the default)

```
.item {
  justify-self: start | end | center | stretch;
}
```

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-justify-self)"
What does **align-self** property do?,"Aligns a grid item inside a cell along the block (column) axis (as opposed to justify-self which aligns along the inline (row) axis). This value applies to the content inside a single grid item.

Values:

* `start` – aligns the grid item to be flush with the start edge of the cell
* `end` – aligns the grid item to be flush with the end edge of the cell
* `center` – aligns the grid item in the center of the cell
* `stretch` – fills the whole height of the cell (this is the default)

```
.item {
  align-self: start | end | center | stretch;
}
```

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-align-self)"
What does **place-self** property do?,"***place-self*** sets both the align-self and justify-self properties in a single declaration.

Values:

* `auto` – The “default” alignment for the layout mode.
* `<align-self> <justify-self>` – The first value sets align-self, the second value justify-self. If the second value is omitted, the first value is assigned to both properties.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-place-self)"
Rewrite this css rule using the repeat function ***grid-template-columns: 1fr 1fr 1fr 1fr;***,"`grid-template-columns: repeat(4, 1fr);`"
What css properties do you use to create an explicit grid?,"When we use `grid-template-columns` and `grid-template-rows` we create an Explicit Grid. However if we try and place an item outside of that grid the browser will create an Implicit Grid line or lines in order to hold that item.

## Footnote

*Source* [*grid by example*](https://gridbyexample.com/examples/example10/)"
What does ***grid-column: 1 / -1;*** do?,"It is the shorthand of `grid-column-start: 1` and `grid-column-end: -1`.
In a nutshell it spans the grid item from the first column to the last one.

You can even use numbers smaller than -1

```grid-column: 1 / -2;```

Spans the grid item from the first column to the second to last column.

## Footnote

*Source [css-tricks](https://css-tricks.com/collection-interesting-facts-css-grid-layout/#aa-negative-values-lower-than-1-may-be-used-for-grid-row-end-and-grid-column-end)*"
Possible values of **grid-template-columns** and **grid-template-rows** properties,"* `none` - Is a keyword meaning that there is no explicit grid.

* `[linename]` - A `<custom-ident>` specifying a name for the line in that location. Lines may have multiple names separated by a space inside the square brackets, for example `[line-name-a line-name-b]`.

* `<length>` - Is a non-negative length.

* `<percentage>` - Is a non-negative `<percentage>` value, relative to the block size of the grid container. If the size of the grid container depends on the size of its tracks, then the percentage must be treated as auto.

* `<fr unit>` - Is a non-negative dimension with the unit fr specifying the track's flex factor.

* `max-content` - Keyword representing the largest maximal content contribution of the grid items occupying the grid track.

* `min-content` - Keyword representing the largest minimal content contribution of the grid items occupying the grid track.

* `minmax(min, max)` - Functional notation that defines a size range, greater than or equal to min, and less than or equal to max.

* `auto` - As a maximum represents the largest `max-content` size of the items in that track.

As a minimum represents the largest minimum size of items in that track (specified by the `min-width`/`min-height` of the items). This is often, though not always, the `min-content` size.

If used outside of `minmax()` notation, `auto` represents the range between the minimum and maximum described above. This behaves similarly to `minmax(min-content,max-content)` in most cases.

Example

```
 .container {
  grid-template-columns: ... ...;
  /* e.g. 
  1fr 1fr
  minmax(10px, 1fr) 3fr
  repeat(5, 1fr)
  50px auto 100px 1fr
  */
  grid-template-rows: ... ...;
  /* e.g. 
  min-content 1fr min-content
  100px 1fr max-content
  */
 }
```

**Note**: `auto` track sizes (and only `auto` track sizes) can be stretched by the `align-content` and `justify-content` properties. Therefore by default, an `auto` sized track will take up any remaining space in the grid container.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid-template-columnsgrid-template-rows) *and* [*MDN*](https://developer.mozilla.org/en-US/docs/Web/CSS/grid-template-rows)"
Possible values of ***grid-template-areas*** property,"* `<grid-area-name>` – the name of a grid area specified with [grid-area](https://css-tricks.com/snippets/css/complete-guide-grid/#prop-grid-area)
* `.` – a period signifies an empty grid cell
* `none` – no grid areas are defined

```
.container {
  grid-template-areas:
     "" <grid-area-name> | . | none | ...""
     ""..."";
}
```

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid-template-areas)"
"What values can **grid-column-start, grid-column-end, grid-row-start** and **grid-row-end** properties have?","* `<line>` – can be a number to refer to a numbered grid line, or a name to refer to a named grid line
* `span <number>` – the item will span across the provided number of grid tracks
* `span <name>` – the item will span across until it hits the next line with the provided name
* `auto` – indicates auto-placement, an automatic span, or a default span of one

Example:

```
.item-b {
  grid-column-start: 1;
  grid-column-end: span col4-start;
  grid-row-start: 2;
  grid-row-end: span 2;
}
```

**Note**: If no `grid-column-end/grid-row-end` is declared, the item will span 1 track by default.
 Items can overlap each other. You can use z-index to control their stacking order.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid-column-startgrid-column-endgrid-row-startgrid-row-end)"

Question,Answer
grid implicit,grid implicit
What is an **implicit grid**?,"If there are more grid items than cells in the grid or when a grid item is placed outside of the explicit grid, the grid container automatically generates grid tracks by adding grid lines to the grid. The explicit grid together with these additional implicit tracks and lines forms the so called **implicit grid**.

## Footnote

*Source [css-tricks](https://css-tricks.com/difference-explicit-implicit-grids/#aa-implicit-grids)*"
What do **grid-auto-columns** and **grid-auto-rows** properties do?,"Specifies the size of any auto-generated grid tracks (aka implicit grid tracks). Implicit tracks get created when there are more grid items than cells in the grid or when a grid item is placed outside of the explicit grid.

Values:

`<track-size>` – can be a length, a percentage, or a fraction of the free space in the grid (using the fr unit)

```
.container {
  grid-auto-columns: <track-size> ...;
  grid-auto-rows: <track-size> ...;
}
```

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid-auto-columnsgrid-auto-rows)"
What does **grid-auto-flow** property do?,"If you have grid items that you don’t explicitly place on the grid, the auto-placement algorithm kicks in to automatically place the items. This property controls how the auto-placement algorithm works.

Values:

* `row`– default - tells the auto-placement algorithm to fill in each row in turn, adding new rows as necessary
* `column` – tells the auto-placement algorithm to fill in each column in turn, adding new columns as necessary
* `dense` – tells the auto-placement algorithm to attempt to fill in holes earlier in the grid if smaller items come up later

```
.container {
  grid-auto-flow: row | column | row dense | column dense;
}
```

**Note**: that dense only changes the visual order of your items and might cause them to appear out of order, which is bad for accessibility.

## Footnote

*Source [css-tricks](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid-auto-flow)*"
What does **grid** property do?,"A shorthand for setting all of the following properties in a single declaration: `grid-template-rows, grid-template-columns, grid-template-areas, grid-auto-rows, grid-auto-columns,` and `grid-auto-flow`.

**Note**: You can only specify the explicit or the implicit grid properties in a single grid declaration.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid)"
What do the **sizing** functions do?,"The `minmax()` function sets a minimum and maximum value for what the length is able to be. This is useful for in combination with relative units. Like you may want a column to be only able to shrink so far.

Example:

`grid-template-columns: minmax(100px, 1fr) 3fr;`

The `min()` function lets you set the smallest (most negative) value from a list of comma-separated expressions as the value of a CSS property value.

The `max()` function lets you set the largest (most positive) value from a list of comma-separated expressions as the value of a CSS property value.

## Footnote

*Source [css-tricks](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-sizing-functions)*"
What does the **repeat()** function do?,"The `repeat()` function can save some typing:

`grid-template-columns: 1fr 1fr 1fr 1fr 1fr 1fr 1fr 1fr;`

```
/* easier: */
grid-template-columns: repeat(8, 1fr);

/* especially when: */
grid-template-columns: repeat(8, minmax(10px, 1fr));
```

But `repeat()` can get extra fancy when combined with keywords:

* `auto-fill`: Fit as many possible columns as possible on a row, even if they are empty.
* `auto-fit`: Fit whatever columns there are into the space. Prefer expanding columns to fill space rather than empty columns.

## Footnote

*Source [css-tricks](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-the-repeat-function-and-keywords)*"
"What does ***grid-template-columns: repeat(auto-fill, 100px);*** do?",It will create as many columns of `100px` as it can possible fit in the grid without overflowing the width of the grid.
"What does this css rule do ***grid-template-columns: repeat(auto-fit, 100px);***?","It will create as many columns (tracks) of width `100px` as needed depending amount of grid items.

The difference between `auto-fit` and `auto-fill` is that with `auto-fit` the empty tracks will colapse while with `auto-fill` they will be created.

**Note**: if a fixed number of vertical tracks is used in the repeat notation and the number of items exceeds this value more rows are added.

## Footnote

*Source [css-tricks](https://css-tricks.com/difference-explicit-implicit-grids/#aa-auto-fitting-tracks)*"
How can we size **implicit tracks**?,"The `grid-auto-rows` and `grid-auto-columns` properties give us control over the size of implicit tracks.

```
 .grid {
  display: grid;
  grid-template-columns: repeat(4, 1fr);
  grid-template-rows: 100px 100px;
  grid-gap: 20px;
  grid-auto-columns: 200px;
  grid-auto-rows: 60px;
}
```

Implicit tracks will now always have a width of `200px` and a height of `60px`, no matter if the grid item fits or not.

You can make sized implicit tracks more flexible by specifying a range using the `minmax()` notation.

```
.grid {
  grid-auto-columns: minmax(200px, auto);
  grid-auto-rows: minmax(60px, auto);
}
```

Implicit tracks are now at least `200px` wide and `60px` high, but will expand if the content demands it.

## Footnote

*Source [css-tricks](https://css-tricks.com/difference-explicit-implicit-grids/#aa-sizing-implicit-tracks)*"
What is the ***automatic placement*** of grid-items?,"Implicit tracks are also added if the number of items exceeds the number of cells. By default, the auto-placement algorithm places items by filling each row consecutively, adding new rows as necessary.

## Footnote

*Source [css-tricks](https://css-tricks.com/difference-explicit-implicit-grids/#aa-automatic-placement)*"
How can you change how auto-placed items get flowed into the grid?,"We can specify how auto-placed items get flowed into the grid by using the `grid-auto-flow` property.

```
.grid-container {
  display: grid;
  grid-template-columns: repeat(4, 1fr);
  grid-template-rows: 100px 100px;
  grid-gap: 20px;
  grid-auto-flow: column;
}
```

Instead of rows, columns are being filled with items and additional implicit columns are created.

## Footnote

*Source [css-tricks](https://css-tricks.com/difference-explicit-implicit-grids/#aa-automatic-placement)*"
How can you create a flexible grid that expands with new columns and wraps to new rows if there is no space?,"You could do:

```
.grid {
  display: grid;
  gap: 1rem;
  grid-template-columns: repeat(auto-fit, minmax(200px, 1fr));
}
```
Note that the minimum value used here is `200px` for each column. That’s just some number that you’d pick that feels good for your content. If you need to consider an alteration that allows it to go smaller if the screen itself is smaller than that wide. You could use: 

```
grid-template-columns: repeat(auto-fill, minmax(min(10rem, 100%), 1fr));
```

That’s saying that if 100% width calculates to less than 10rem (otherwise the minimum), then use that instead, making it safer for small-screen layouts.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/books/greatest-css-tricks/flexible-grids/)"
"What does this CSS declaration ***grid-template-columns: repeat(12, 1fr);*** do?","It creates a 12 columns grid layout. 

The `1fr` is what tells the browser to distribute the space between the columns so that each column equally gets one fraction of that space.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/auto-sizing-columns-css-grid-auto-fill-vs-auto-fit/)"
"What is the problem with this CSS declaration `grid-template-columns: repeat( 12, minmax(250px, 1fr) );`?","This will cause overflow in the row. The columns will not wrap into new rows if the viewport width is too narrow to fit them all with the new minimum width requirement, because we’re explicitly telling the browser to repeat the columns 12 times per row.

To achieve wrapping, we can use the `auto-fit` or `auto-fill` keywords.

```
grid-template-columns: repeat( auto-fit, minmax(250px, 1fr));
```

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/auto-sizing-columns-css-grid-auto-fill-vs-auto-fit/)"
"What do `auto-fit` or `auto-fill` keywords tell the browser when passed to a repeat function?

For example: 

`grid-template-columns: repeat( auto-fit, minmax(250px, 1fr));`","These keywords tell the browser to handle the column sizing and element wrapping for us so that the elements will wrap into rows when the width is not large enough to fit them in without any overflow.

In the example, the *fraction unit* used, ensures that in case the *width* allows for a fraction of a column to fit but not a full column, that space will instead be distributed over the column or columns that already fit, making sure we aren’t left with any empty space at the end of the row.

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/auto-sizing-columns-css-grid-auto-fill-vs-auto-fit/)"
How can you change the default ***auto*** size of implicit grid tracks?,"You can size implicit tracks with the `grid-auto-columns` and `grid-auto-rows` properties.

Example:

```
grid-auto-columns: 100px;
```

## Footnote

*Source* [*grid by example*](https://gridbyexample.com/examples/example10/)"
What values does CSS **grid** property have?,"**Syntax**

```
/* <'grid-template'> values */
grid: none;
grid: ""a"" 100px ""b"" 1fr;
grid: [linename1] ""a"" 100px [linename2];
grid: ""a"" 200px ""b"" min-content;
grid: ""a"" minmax(100px, max-content) ""b"" 20%;
grid: 100px / 200px;
grid: minmax(400px, min-content) / repeat(auto-fill, 50px);

/* <'grid-template-rows'> /
   [ auto-flow && dense? ] <'grid-auto-columns'>? values */
grid: 200px / auto-flow;
grid: 30% / auto-flow dense;
grid: repeat(3, [line1 line2 line3] 200px) / auto-flow 300px;
grid: [line1] minmax(20em, max-content) / auto-flow dense 40%;

/* [ auto-flow && dense? ] <'grid-auto-rows'>? /
   <'grid-template-columns'> values */
grid: auto-flow / 200px;
grid: auto-flow dense / 30%;
grid: auto-flow 300px / repeat(3, [line1 line2 line3] 200px);
grid: auto-flow dense 40% / [line1] minmax(20em, max-content);

/* Global values */
grid: inherit;
grid: initial;
grid: revert;
grid: revert-layer;
grid: unset;
```

*Values* 

* `<'grid-template'>` - Defines the grid-template including grid-template-columns, grid-template-rows and grid-template-areas.

* `<'grid-template-rows'> / [ auto-flow && dense? ] <'grid-auto-columns'>?` - Sets up an auto-flow by setting the row tracks explicitly via the grid-template-rows property (and the grid-template-columns property to none) and specifying how to auto-repeat the column tracks via grid-auto-columns (and setting grid-auto-rows to auto). grid-auto-flow is also set to column accordingly, with dense if it's specified.

All other grid sub-properties are reset to their initial values.

* `[ auto-flow && dense? ] <'grid-auto-rows'>? / <'grid-template-columns'>` - Sets up an auto-flow by setting the column tracks explicitly via the grid-template-columns property (and the grid-template-rows property to none) and specifying how to auto-repeat the row tracks via grid-auto-rows (and setting grid-auto-columns to auto). grid-auto-flow is also set to row accordingly, with dense if it's specified.

All other grid sub-properties are reset to their initial values.

*Initial values*

* `grid-template-rows: none`
* `grid-template-columns: none`
* `grid-template-areas: none`
* `grid-auto-rows: auto`
* `grid-auto-columns: auto`
* `grid-auto-flow: row`
* `grid-column-gap: 0`
* `grid-row-gap: 0`
* `column-gap: normal`
* `row-gap: normal`

**Note**: You can only specify the explicit or the implicit grid properties in a single grid declaration

## Footnote

*Source* [*css-tricks*](https://css-tricks.com/snippets/css/complete-guide-grid/#aa-grid)"
Arguments of ***repeat()*** CSS function,"The `repeat()` function takes two arguments:

* `repeat count`: the first argument specifies the number of times that the track list should be repeated. It is specified with an integer value of 1 or more, or with the keyword values *auto-fill* or *auto-fit*. These keyword values repeat the set of tracks as many times as is needed to fill the grid container.
* `tracks`: the second argument specifies the set of tracks that will be repeated. Fundamentally this consists of one or more values, where each value represents the size of that track. Each size is specified using either a [`<track-size>`](https://developer.mozilla.org/en-US/docs/Web/CSS/repeat#track-size) value or a [`<fixed-size>`_](https://developer.mozilla.org/en-US/docs/Web/CSS/repeat#fixed-size) value. You can also specify one or more line names before or after each track, by providing [`<line-names>`](https://developer.mozilla.org/en-US/docs/Web/CSS/repeat#line-names) values before and/or after the track size.

## Footnote

*Source* [*MDN*](https://developer.mozilla.org/en-US/docs/Web/CSS/repeat#syntax)"
What does the ***repeat()*** CSS function does?,"The `repeat()` CSS function represents a repeated fragment of the track list, allowing a large number of columns or rows that exhibit a recurring pattern to be written in a more compact form.

## Footnote

*Source* [*MDN*](https://developer.mozilla.org/en-US/docs/Web/CSS/repeat)"
"Possible tracks values for `repeat(4, track_value)` CSS function call","This type of repeat calls are called **\< track-repeat \>**, which uses an integer to set the repeat count and one of the following values as track value.

* A [`<length-percentage>`](https://developer.mozilla.org/en-US/docs/Web/CSS/length-percentage) value.
* One of the following size keywords: `min-content`,` max-content`, or `auto`.
* A `<flex>` value (fr unit value).
* A `minmax()` function with:
    * `min` given as a `<length-percentage>` value, or one of the following keywords: min-content, max-content, or auto.
    * `max` given as one of a `<length-percentage>` value, a `<flex>` value (fr unit), or one of the following keywords: `min-content, max-content,` or `auto`
* a `fit-content()` function, passed a `<length-percentage>` value.

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/repeat#syntax)*"
"Possible tracks values for ***repeat(auto-fill | auto-fit, track\_value)*** CSS function call","This type of repeat calls are called`<auto-repeat>`, which uses
`auto-fill` or `auto-fit` to set the repeat count and one of the following values as track value.

* A [`<length-percentage>`](https://developer.mozilla.org/en-US/docs/Web/CSS/length-percentage) value.
* a `minmax()` function with:
    * `min` given as a `<length-percentage>` value
    * `max` given as one of a `<length-percentage>` value, a `<flex>` value (fr unit), or one of the following keywords: `min-content, max-content,` or `auto`
* a `minmax()` function with:
    * `min` given as a `<length-percentage>` value or one of the following keywords: `min-content, max-content,` or `auto`
    * `max` given as a `<length-percentage>` value.

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/repeat#syntax)*"

Question,Answer
positioning and stacking contexts,positioning and stacking contexts
What is the **containing block** of an element and why does it matter?,"The **containing block** of an element is the area that containts the element. Most often, the containing block is the content area of an element's nearest block-level ancestor.

The containing block of an element matters because the size and position of an element are often impacted by its containing block. 

Percentage values that are applied to the `width`, `height`, `padding`, `margin`, and offset properties (`top`, `bottom`, `right`, `left`) of an absolutely positioned element are computed from the element's containing block.

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/Containing_block)*"
How can you identify the **containing block** of an element?,"The process for identifying the containing block depends entirely on the value of the element's `position` property:

1. If the `position` property is `static`, `relative`, or `sticky`, the containing block is formed by the edge of the content box of the nearest ancestor element that establishes a formatting context (such as a *table container, flex container, grid container*, or the *block container* itself).

2. If the `position` property is `absolute`, the containing block is formed by the edge of the padding box of the nearest ancestor element that has a position value other than `static` (i.e. `fixed`, `absolute`, `relative`, or `sticky`).

3. If the `position` property is `fixed`,  the containing block is established by the viewport (in the case of continuous media) or the page area (in the case of paged media).

4. If the `position` property is `absolute` or `fixed`, the containing block may also be formed by the edge of the padding box of the nearest ancestor element that has the following:
```
I. A `transform` or `perspective` or `fiter` value other than `none`
II. A `will-change` value of `transform` or `perspective` or `filter`
III. A `contain` value of `layout`, `paint`, `strict` or `content` (e.g. `contain: paint;`)
IV. A `container-type` value other than `normal`
V. A `backdrop-filter` other than `none` (e.g. `backdrop-filter: blur(10px);`)
```

## Footnote

*Source [MDN](https://developer.mozilla.org/en-US/docs/Web/CSS/Containing_block#identifying_the_containing_block)*"
